epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1566007435321808,5.740229606628418,1e-04,0.2617914378643036,4.622697353363037
1,0.29457128047943115,4.270719051361084,1e-04,0.421895295381546,3.4121696949005127
2,0.42811331152915955,3.1566033363342285,1e-04,0.5716140270233154,2.2691562175750732
3,0.5779949426651001,2.1719751358032227,1e-04,0.7689312100410461,1.2948503494262695
4,0.7230663299560547,1.4092785120010376,1e-04,0.8922544121742249,0.6838778257369995
5,0.8161411285400391,0.9330735802650452,1e-04,0.9268714785575867,0.38384440541267395
6,0.8623349070549011,0.6880897879600525,1e-04,0.9558632373809814,0.23343639075756073
7,0.8870733976364136,0.5498570203781128,1e-04,0.9506707191467285,0.2289019078016281
8,0.9133389592170715,0.43095627427101135,1e-04,0.9597576856613159,0.1919204145669937
9,0.921432375907898,0.3836592435836792,1e-04,0.9619212746620178,0.1604352444410324
10,0.9284569025039673,0.3427744507789612,1e-04,0.9562959671020508,0.18502166867256165
11,0.9309002161026001,0.3218214213848114,1e-04,0.9710082411766052,0.12762923538684845
12,0.9398335218429565,0.2810102701187134,1e-04,0.9619212746620178,0.15401823818683624
13,0.9361686110496521,0.29101911187171936,1e-04,0.9554305672645569,0.18302439153194427
14,0.9452546238899231,0.25215083360671997,1e-04,0.974037230014801,0.10470188409090042
15,0.9518210291862488,0.21700045466423035,1e-04,0.9662483930587769,0.14385774731636047
16,0.9516683220863342,0.21318474411964417,1e-04,0.9649502635002136,0.14967148005962372
17,0.9493013620376587,0.21741144359111786,1e-04,0.9692773818969727,0.12104527652263641
18,0.9664808511734009,0.14475034177303314,2e-05,0.9818260669708252,0.07490860670804977
