epoch,accuracy,balanced_auc,loss,lr,precision,recall,val_accuracy,val_balanced_auc,val_loss,val_precision,val_recall
0,0.5358255505561829,0.6011258959770203,0.6881632208824158,1e-04,0.5358255505561829,0.5358255505561829,0.8127962350845337,0.46156400442123413,0.1296384185552597,0.8127962350845337,0.8127962350845337
1,0.5846313834190369,0.6989440321922302,0.5409639477729797,1e-04,0.5846313834190369,0.5846313834190369,0.8080568909645081,0.5519245862960815,0.14495691657066345,0.8080568909645081,0.8080568909645081
2,0.5981308221817017,0.7340297698974609,0.47019216418266296,1e-04,0.5981308221817017,0.5981308221817017,0.274881511926651,0.3693767189979553,0.22065678238868713,0.274881511926651,0.274881511926651
3,0.639148473739624,0.794517457485199,0.3965262472629547,1e-04,0.639148473739624,0.639148473739624,0.274881511926651,0.636694073677063,0.30711793899536133,0.274881511926651,0.274881511926651
4,0.6433022022247314,0.7840644121170044,0.42440280318260193,2e-05,0.6433022022247314,0.6433022022247314,0.2654028534889221,0.5970034003257751,0.41608089208602905,0.2654028534889221,0.2654028534889221
5,0.6578400731086731,0.798856794834137,0.39001208543777466,2e-05,0.6578400731086731,0.6578400731086731,0.3009478747844696,0.487876832485199,0.43182507157325745,0.3009478747844696,0.3009478747844696
6,0.6490135192871094,0.7898279428482056,0.3892711400985718,2e-05,0.6490135192871094,0.6490135192871094,0.27014216780662537,0.5152230858802795,0.5813272595405579,0.27014216780662537,0.27014216780662537
7,0.6458982229232788,0.8070986866950989,0.3727678656578064,4e-06,0.6458982229232788,0.6458982229232788,0.3222748935222626,0.5731814503669739,0.4534381628036499,0.3222748935222626,0.3222748935222626
8,0.653167188167572,0.8089051842689514,0.37798386812210083,4e-06,0.653167188167572,0.653167188167572,0.48341232538223267,0.5793076157569885,0.30254682898521423,0.48341232538223267,0.48341232538223267
9,0.6599169373512268,0.80259108543396,0.39061787724494934,4e-06,0.6599169373512268,0.6599169373512268,0.649289071559906,0.7225337624549866,0.20954079926013947,0.649289071559906,0.649289071559906
10,0.6396676898002625,0.796047568321228,0.3852270245552063,1e-06,0.6396676898002625,0.6396676898002625,0.6777251362800598,0.7912501096725464,0.22531935572624207,0.6777251362800598,0.6777251362800598
11,0.65887850522995,0.8052764534950256,0.38335317373275757,1e-06,0.65887850522995,0.65887850522995,0.6943128108978271,0.819445013999939,0.23116111755371094,0.6943128108978271,0.6943128108978271
12,0.6552440524101257,0.8041459321975708,0.3932005763053894,1e-06,0.6552440524101257,0.6552440524101257,0.7061611413955688,0.8394840955734253,0.2252265363931656,0.7061611413955688,0.7061611413955688
13,0.65887850522995,0.7973142862319946,0.4126878082752228,1e-06,0.65887850522995,0.65887850522995,0.6516587734222412,0.8056795001029968,0.2723447382450104,0.6516587734222412,0.6516587734222412
14,0.6708203554153442,0.8116077184677124,0.36356860399246216,1e-06,0.6708203554153442,0.6708203554153442,0.5023696422576904,0.7942022681236267,0.4071652889251709,0.5023696422576904,0.5023696422576904
15,0.6474558711051941,0.7868247032165527,0.39763298630714417,1e-06,0.6474558711051941,0.6474558711051941,0.6658768057823181,0.8601691126823425,0.3180801272392273,0.6658768057823181,0.6658768057823181
16,0.6640706062316895,0.7985293865203857,0.37842807173728943,1e-06,0.6640706062316895,0.6640706062316895,0.7606635093688965,0.8752074241638184,0.21275626122951508,0.7606635093688965,0.7606635093688965
17,0.6645898222923279,0.7996710538864136,0.3959195613861084,1e-06,0.6645898222923279,0.6645898222923279,0.8436018824577332,0.8862605690956116,0.18321147561073303,0.8436018824577332,0.8436018824577332
18,0.6614745855331421,0.8000249862670898,0.3997162878513336,1e-06,0.6614745855331421,0.6614745855331421,0.7654028534889221,0.8778278827667236,0.22061914205551147,0.7654028534889221,0.7654028534889221
19,0.6474558711051941,0.795188307762146,0.377403199672699,1e-06,0.6474558711051941,0.6474558711051941,0.7630331516265869,0.8793038725852966,0.20387332141399384,0.7630331516265869,0.7630331516265869
20,0.66718590259552,0.82667076587677,0.3501981496810913,1e-06,0.66718590259552,0.66718590259552,0.8056871891021729,0.8832709789276123,0.18869128823280334,0.8056871891021729,0.8056871891021729
21,0.6583592891693115,0.8010895252227783,0.3898713290691376,1e-06,0.6583592891693115,0.6583592891693115,0.8151658773422241,0.8747093081474304,0.19499249756336212,0.8151658773422241,0.8151658773422241
22,0.6599169373512268,0.7848218679428101,0.4223730266094208,1e-06,0.6599169373512268,0.6599169373512268,0.8175355195999146,0.8832343816757202,0.17277494072914124,0.8175355195999146,0.8175355195999146
23,0.6713395714759827,0.7917823791503906,0.40164560079574585,1e-06,0.6713395714759827,0.6713395714759827,0.7962085604667664,0.865944504737854,0.2141072154045105,0.7962085604667664,0.7962085604667664
24,0.6526479721069336,0.7956429719924927,0.3887387216091156,1e-06,0.6526479721069336,0.6526479721069336,0.8364928960800171,0.8941211700439453,0.1650656908750534,0.8364928960800171,0.8364928960800171
25,0.6516095399856567,0.7905418276786804,0.3888995051383972,1e-06,0.6516095399856567,0.6516095399856567,0.7559241652488708,0.8927555680274963,0.22739651799201965,0.7559241652488708,0.7559241652488708
26,0.6578400731086731,0.7946447730064392,0.36887115240097046,1e-06,0.6578400731086731,0.6578400731086731,0.7819905281066895,0.8761301040649414,0.21758411824703217,0.7819905281066895,0.7819905281066895
27,0.6661474704742432,0.808496356010437,0.3855569660663605,1e-06,0.6661474704742432,0.6661474704742432,0.7464454770088196,0.8750969171524048,0.2262123078107834,0.7464454770088196,0.7464454770088196
